0	0
500000	1
1000000	2
1500000	3
2000000	4
2500000	5
3000000	6
3500000	7
4000000	8
4500000	9
5000000	10
5500000	11
6000000	12
6500000	13
7000000	14
7500000	15
8000000	16
8500000	17
9000000	18
9500000	19
10000000	20
10500000	21
11000000	22
11500000	23
12000000	24
12500000	25
13000000	26
13500000	27
14000000	28
14500000	29
15000000	30
15500000	31
16000000	32
16500000	33
17000000	34
17500000	35
18000000	36
18500000	37
19000000	38
19500000	39
20000000	40
20500000	41
21000000	42
21500000	43
22000000	44
25000000	45
25500000	46
26000000	47
26500000	48
27000000	49
27500000	50
28000000	51
28500000	52
29000000	53
29500000	54
30000000	55
30500000	56
31000000	57
31500000	58
32000000	59
32500000	60
33000000	61
33500000	62
34000000	63
34500000	64
35000000	65
35500000	66
36000000	67
36500000	68
37000000	69
37500000	70
38000000	71
38500000	72
39000000	73
39500000	74
40000000	75
40500000	76
41000000	77
41500000	78
42000000	79
42500000	80
43000000	81
43500000	82
44000000	83
44500000	84
45000000	85
45500000	86
46000000	87
46500000	88
47000000	89
47500000	90
48000000	91
48500000	92
49000000	93
49500000	94
50000000	95
50500000	96
51000000	97
51500000	98
52000000	99
52500000	100
53000000	101
53500000	102
54000000	103
54500000	104
55000000	105
55500000	106
56000000	107
56500000	108
57000000	109
57500000	110
58000000	111
58500000	112
59000000	113
59500000	114
60000000	115
60500000	116
61000000	117
61500000	118
62000000	119
62500000	120
63000000	121
63500000	122
64000000	123
64500000	124
65000000	125
65500000	126
66000000	127
66500000	128
67000000	129
67500000	130
68000000	131
68500000	132
69000000	133
69500000	134
70000000	135
70500000	136
71000000	137
71500000	138
72000000	139
72500000	140
73000000	141
73500000	142
74000000	143
74500000	144
75000000	145
75500000	146
76000000	147
76500000	148
77000000	149
77500000	150
78000000	151
78500000	152
79000000	153
79500000	154
80000000	155
80500000	156
81000000	157
